Country,Consumption Range,Min Consumption (kWh),Max Consumption (kWh),Energy Source,Avg Installation Cost ($),Avg Cost per kWh ($),Avg Consumption (kWh)
Poland,Low,100,200,Wind Power,5750.0,0.04,150.0
Poland,Low,100,200,Hydropower,3000.0,0.055,150.0
Poland,Low,100,200,Biomass,3500.0,0.1,150.0
Poland,Medium,200,500,Solar Power,18750.0,0.08,350.0
Poland,Medium,200,500,Wind Power,5750.0,0.04,350.0
Poland,Medium,200,500,Hydropower,3000.0,0.055,350.0
Poland,Medium,200,500,Biomass,3500.0,0.1,350.0
Poland,High,500,1000,Solar Power,18750.0,0.08,750.0
Poland,High,500,1000,Wind Power,5750.0,0.04,750.0
Poland,High,500,1000,Hydropower,3000.0,0.055,750.0
Poland,High,500,1000,Biomass,3500.0,0.1,750.0
Poland,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Poland,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Poland,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Poland,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Thailand,Low,100,200,Solar Power,18750.0,0.08,150.0
Thailand,Low,100,200,Wind Power,5750.0,0.04,150.0
Thailand,Low,100,200,Hydropower,3000.0,0.055,150.0
Thailand,Low,100,200,Biomass,3500.0,0.1,150.0
Thailand,Medium,200,500,Solar Power,18750.0,0.08,350.0
Thailand,Medium,200,500,Wind Power,5750.0,0.04,350.0
Thailand,Medium,200,500,Hydropower,3000.0,0.055,350.0
Thailand,Medium,200,500,Biomass,3500.0,0.1,350.0
Thailand,High,500,1000,Solar Power,18750.0,0.08,750.0
Thailand,High,500,1000,Wind Power,5750.0,0.04,750.0
Thailand,High,500,1000,Hydropower,3000.0,0.055,750.0
Thailand,High,500,1000,Biomass,3500.0,0.1,750.0
Thailand,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Thailand,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Thailand,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Thailand,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Vietnam,Low,100,200,Solar Power,18750.0,0.08,150.0
Vietnam,Low,100,200,Wind Power,5750.0,0.04,150.0
Vietnam,Low,100,200,Hydropower,3000.0,0.055,150.0
Vietnam,Low,100,200,Biomass,3500.0,0.1,150.0
Vietnam,Medium,200,500,Solar Power,18750.0,0.08,350.0
Vietnam,Medium,200,500,Wind Power,5750.0,0.04,350.0
Vietnam,Medium,200,500,Hydropower,3000.0,0.055,350.0
Vietnam,Medium,200,500,Biomass,3500.0,0.1,350.0
Vietnam,High,500,1000,Solar Power,18750.0,0.08,750.0
Vietnam,High,500,1000,Wind Power,5750.0,0.04,750.0
Vietnam,High,500,1000,Hydropower,3000.0,0.055,750.0
Vietnam,High,500,1000,Biomass,3500.0,0.1,750.0
Vietnam,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Vietnam,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Vietnam,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Vietnam,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Egypt,Low,100,200,Solar Power,18750.0,0.08,150.0
Egypt,Low,100,200,Wind Power,5750.0,0.04,150.0
Egypt,Low,100,200,Hydropower,3000.0,0.055,150.0
Egypt,Low,100,200,Biomass,3500.0,0.1,150.0
Egypt,Medium,200,500,Solar Power,18750.0,0.08,350.0
Egypt,Medium,200,500,Wind Power,5750.0,0.04,350.0
Egypt,Medium,200,500,Hydropower,3000.0,0.055,350.0
Egypt,Medium,200,500,Biomass,3500.0,0.1,350.0
Egypt,High,500,1000,Solar Power,18750.0,0.08,750.0
Egypt,High,500,1000,Wind Power,5750.0,0.04,750.0
Egypt,High,500,1000,Hydropower,3000.0,0.055,750.0
Egypt,High,500,1000,Biomass,3500.0,0.1,750.0
Egypt,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Egypt,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Egypt,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Egypt,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Chile,Low,100,200,Solar Power,18750.0,0.08,150.0
Chile,Low,100,200,Wind Power,5750.0,0.04,150.0
Chile,Low,100,200,Hydropower,3000.0,0.055,150.0
Chile,Low,100,200,Biomass,3500.0,0.1,150.0
Chile,Medium,200,500,Solar Power,18750.0,0.08,350.0
Chile,Medium,200,500,Wind Power,5750.0,0.04,350.0
Chile,Medium,200,500,Hydropower,3000.0,0.055,350.0
Chile,Medium,200,500,Biomass,3500.0,0.1,350.0
Chile,High,500,1000,Solar Power,18750.0,0.08,750.0
Chile,High,500,1000,Wind Power,5750.0,0.04,750.0
Chile,High,500,1000,Hydropower,3000.0,0.055,750.0
Chile,High,500,1000,Biomass,3500.0,0.1,750.0
Chile,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Chile,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Chile,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Chile,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Pakistan,Low,100,200,Solar Power,18750.0,0.08,150.0
Pakistan,Low,100,200,Wind Power,5750.0,0.04,150.0
Pakistan,Low,100,200,Hydropower,3000.0,0.055,150.0
Pakistan,Low,100,200,Biomass,3500.0,0.1,150.0
Pakistan,Medium,200,500,Solar Power,18750.0,0.08,350.0
Pakistan,Medium,200,500,Wind Power,5750.0,0.04,350.0
Pakistan,Medium,200,500,Hydropower,3000.0,0.055,350.0
Pakistan,Medium,200,500,Biomass,3500.0,0.1,350.0
Pakistan,High,500,1000,Solar Power,18750.0,0.08,750.0
Pakistan,High,500,1000,Wind Power,5750.0,0.04,750.0
Pakistan,High,500,1000,Hydropower,3000.0,0.055,750.0
Pakistan,High,500,1000,Biomass,3500.0,0.1,750.0
Pakistan,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Pakistan,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Pakistan,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Pakistan,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Philippines,Low,100,200,Solar Power,18750.0,0.08,150.0
Philippines,Low,100,200,Wind Power,5750.0,0.04,150.0
Philippines,Low,100,200,Hydropower,3000.0,0.055,150.0
Philippines,Low,100,200,Biomass,3500.0,0.1,150.0
Philippines,Medium,200,500,Solar Power,18750.0,0.08,350.0
Philippines,Medium,200,500,Wind Power,5750.0,0.04,350.0
Philippines,Medium,200,500,Hydropower,3000.0,0.055,350.0
Philippines,Medium,200,500,Biomass,3500.0,0.1,350.0
Philippines,High,500,1000,Solar Power,18750.0,0.08,750.0
Philippines,High,500,1000,Wind Power,5750.0,0.04,750.0
Philippines,High,500,1000,Hydropower,3000.0,0.055,750.0
Philippines,High,500,1000,Biomass,3500.0,0.1,750.0
Philippines,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Philippines,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Philippines,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Philippines,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Malaysia,Low,100,200,Solar Power,18750.0,0.08,150.0
Malaysia,Low,100,200,Wind Power,5750.0,0.04,150.0
Malaysia,Low,100,200,Hydropower,3000.0,0.055,150.0
Malaysia,Low,100,200,Biomass,3500.0,0.1,150.0
Malaysia,Medium,200,500,Solar Power,18750.0,0.08,350.0
Malaysia,Medium,200,500,Wind Power,5750.0,0.04,350.0
Malaysia,Medium,200,500,Hydropower,3000.0,0.055,350.0
Malaysia,Medium,200,500,Biomass,3500.0,0.1,350.0
Malaysia,High,500,1000,Solar Power,18750.0,0.08,750.0
Malaysia,High,500,1000,Wind Power,5750.0,0.04,750.0
Malaysia,High,500,1000,Hydropower,3000.0,0.055,750.0
Malaysia,High,500,1000,Biomass,3500.0,0.1,750.0
Malaysia,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Malaysia,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Malaysia,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Malaysia,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Israel,Low,100,200,Solar Power,18750.0,0.08,150.0
Israel,Low,100,200,Wind Power,5750.0,0.04,150.0
Israel,Low,100,200,Hydropower,3000.0,0.055,150.0
Israel,Low,100,200,Biomass,3500.0,0.1,150.0
Israel,Medium,200,500,Solar Power,18750.0,0.08,350.0
Israel,Medium,200,500,Wind Power,5750.0,0.04,350.0
Israel,Medium,200,500,Hydropower,3000.0,0.055,350.0
Israel,Medium,200,500,Biomass,3500.0,0.1,350.0
Israel,High,500,1000,Solar Power,18750.0,0.08,750.0
Israel,High,500,1000,Wind Power,5750.0,0.04,750.0
Israel,High,500,1000,Hydropower,3000.0,0.055,750.0
Israel,High,500,1000,Biomass,3500.0,0.1,750.0
Israel,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Israel,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Israel,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Israel,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Singapore,Low,100,200,Solar Power,18750.0,0.08,150.0
Singapore,Low,100,200,Wind Power,5750.0,0.04,150.0
Singapore,Low,100,200,Hydropower,3000.0,0.055,150.0
Singapore,Low,100,200,Biomass,3500.0,0.1,150.0
Singapore,Medium,200,500,Solar Power,18750.0,0.08,350.0
Singapore,Medium,200,500,Wind Power,5750.0,0.04,350.0
Singapore,Medium,200,500,Hydropower,3000.0,0.055,350.0
Singapore,Medium,200,500,Biomass,3500.0,0.1,350.0
Singapore,High,500,1000,Solar Power,18750.0,0.08,750.0
Singapore,High,500,1000,Wind Power,5750.0,0.04,750.0
Singapore,High,500,1000,Hydropower,3000.0,0.055,750.0
Singapore,High,500,1000,Biomass,3500.0,0.1,750.0
Singapore,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Singapore,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Singapore,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Singapore,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
New Zealand,Low,100,200,Solar Power,18750.0,0.08,150.0
New Zealand,Low,100,200,Wind Power,5750.0,0.04,150.0
New Zealand,Low,100,200,Hydropower,3000.0,0.055,150.0
New Zealand,Low,100,200,Biomass,3500.0,0.1,150.0
New Zealand,Medium,200,500,Solar Power,18750.0,0.08,350.0
New Zealand,Medium,200,500,Wind Power,5750.0,0.04,350.0
New Zealand,Medium,200,500,Hydropower,3000.0,0.055,350.0
New Zealand,Medium,200,500,Biomass,3500.0,0.1,350.0
New Zealand,High,500,1000,Solar Power,18750.0,0.08,750.0
New Zealand,High,500,1000,Wind Power,5750.0,0.04,750.0
New Zealand,High,500,1000,Hydropower,3000.0,0.055,750.0
New Zealand,High,500,1000,Biomass,3500.0,0.1,750.0
New Zealand,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
New Zealand,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
New Zealand,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
New Zealand,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Portugal,Low,100,200,Solar Power,18750.0,0.08,150.0
Portugal,Low,100,200,Wind Power,5750.0,0.04,150.0
Portugal,Low,100,200,Hydropower,3000.0,0.055,150.0
Portugal,Low,100,200,Biomass,3500.0,0.1,150.0
Portugal,Medium,200,500,Solar Power,18750.0,0.08,350.0
Portugal,Medium,200,500,Wind Power,5750.0,0.04,350.0
Portugal,Medium,200,500,Hydropower,3000.0,0.055,350.0
Portugal,Medium,200,500,Biomass,3500.0,0.1,350.0
Portugal,High,500,1000,Solar Power,18750.0,0.08,750.0
Portugal,High,500,1000,Wind Power,5750.0,0.04,750.0
Portugal,High,500,1000,Hydropower,3000.0,0.055,750.0
Portugal,High,500,1000,Biomass,3500.0,0.1,750.0
Portugal,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Portugal,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Portugal,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Portugal,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Greece,Low,100,200,Solar Power,18750.0,0.08,150.0
Greece,Low,100,200,Wind Power,5750.0,0.04,150.0
Greece,Low,100,200,Hydropower,3000.0,0.055,150.0
Greece,Low,100,200,Biomass,3500.0,0.1,150.0
Greece,Medium,200,500,Solar Power,18750.0,0.08,350.0
Greece,Medium,200,500,Wind Power,5750.0,0.04,350.0
Greece,Medium,200,500,Hydropower,3000.0,0.055,350.0
Greece,Medium,200,500,Biomass,3500.0,0.1,350.0
Greece,High,500,1000,Solar Power,18750.0,0.08,750.0
Greece,High,500,1000,Wind Power,5750.0,0.04,750.0
Greece,High,500,1000,Hydropower,3000.0,0.055,750.0
Greece,High,500,1000,Biomass,3500.0,0.1,750.0
Greece,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Greece,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Greece,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Greece,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Czech Republic,Low,100,200,Solar Power,18750.0,0.08,150.0
Czech Republic,Low,100,200,Wind Power,5750.0,0.04,150.0
Czech Republic,Low,100,200,Hydropower,3000.0,0.055,150.0
Czech Republic,Low,100,200,Biomass,3500.0,0.1,150.0
Czech Republic,Medium,200,500,Solar Power,18750.0,0.08,350.0
Czech Republic,Medium,200,500,Wind Power,5750.0,0.04,350.0
Czech Republic,Medium,200,500,Hydropower,3000.0,0.055,350.0
Czech Republic,Medium,200,500,Biomass,3500.0,0.1,350.0
Czech Republic,High,500,1000,Solar Power,18750.0,0.08,750.0
Czech Republic,High,500,1000,Wind Power,5750.0,0.04,750.0
Czech Republic,High,500,1000,Hydropower,3000.0,0.055,750.0
Czech Republic,High,500,1000,Biomass,3500.0,0.1,750.0
Czech Republic,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Czech Republic,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Czech Republic,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Czech Republic,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Hungary,Low,100,200,Solar Power,18750.0,0.08,150.0
Hungary,Low,100,200,Wind Power,5750.0,0.04,150.0
Hungary,Low,100,200,Hydropower,3000.0,0.055,150.0
Hungary,Low,100,200,Biomass,3500.0,0.1,150.0
Hungary,Medium,200,500,Solar Power,18750.0,0.08,350.0
Hungary,Medium,200,500,Wind Power,5750.0,0.04,350.0
Hungary,Medium,200,500,Hydropower,3000.0,0.055,350.0
Hungary,Medium,200,500,Biomass,3500.0,0.1,350.0
Hungary,High,500,1000,Solar Power,18750.0,0.08,750.0
Hungary,High,500,1000,Wind Power,5750.0,0.04,750.0
Hungary,High,500,1000,Hydropower,3000.0,0.055,750.0
Hungary,High,500,1000,Biomass,3500.0,0.1,750.0
Hungary,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Hungary,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Hungary,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Hungary,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Romania,Low,100,200,Solar Power,18750.0,0.08,150.0
Romania,Low,100,200,Wind Power,5750.0,0.04,150.0
Romania,Low,100,200,Hydropower,3000.0,0.055,150.0
Romania,Low,100,200,Biomass,3500.0,0.1,150.0
Romania,Medium,200,500,Solar Power,18750.0,0.08,350.0
Romania,Medium,200,500,Wind Power,5750.0,0.04,350.0
Romania,Medium,200,500,Hydropower,3000.0,0.055,350.0
Romania,Medium,200,500,Biomass,3500.0,0.1,350.0
Romania,High,500,1000,Solar Power,18750.0,0.08,750.0
Romania,High,500,1000,Wind Power,5750.0,0.04,750.0
Romania,High,500,1000,Hydropower,3000.0,0.055,750.0
Romania,High,500,1000,Biomass,3500.0,0.1,750.0
Romania,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Romania,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Romania,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Romania,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Finland,Low,100,200,Solar Power,18750.0,0.08,150.0
Finland,Low,100,200,Wind Power,5750.0,0.04,150.0
Finland,Low,100,200,Hydropower,3000.0,0.055,150.0
Finland,Low,100,200,Biomass,3500.0,0.1,150.0
Finland,Medium,200,500,Solar Power,18750.0,0.08,350.0
Finland,Medium,200,500,Wind Power,5750.0,0.04,350.0
Finland,Medium,200,500,Hydropower,3000.0,0.055,350.0
Finland,Medium,200,500,Biomass,3500.0,0.1,350.0
Finland,High,500,1000,Solar Power,18750.0,0.08,750.0
Finland,High,500,1000,Wind Power,5750.0,0.04,750.0
Finland,High,500,1000,Hydropower,3000.0,0.055,750.0
Finland,High,500,1000,Biomass,3500.0,0.1,750.0
Finland,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Finland,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Finland,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Finland,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Denmark,Low,100,200,Solar Power,18750.0,0.08,150.0
Denmark,Low,100,200,Wind Power,5750.0,0.04,150.0
Denmark,Low,100,200,Hydropower,3000.0,0.055,150.0
Denmark,Low,100,200,Biomass,3500.0,0.1,150.0
Denmark,Medium,200,500,Solar Power,18750.0,0.08,350.0
Denmark,Medium,200,500,Wind Power,5750.0,0.04,350.0
Denmark,Medium,200,500,Hydropower,3000.0,0.055,350.0
Denmark,Medium,200,500,Biomass,3500.0,0.1,350.0
Denmark,High,500,1000,Solar Power,18750.0,0.08,750.0
Denmark,High,500,1000,Wind Power,5750.0,0.04,750.0
Denmark,High,500,1000,Hydropower,3000.0,0.055,750.0
Denmark,High,500,1000,Biomass,3500.0,0.1,750.0
Denmark,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Denmark,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Denmark,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Denmark,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Ireland,Low,100,200,Solar Power,18750.0,0.08,150.0
Ireland,Low,100,200,Wind Power,5750.0,0.04,150.0
Ireland,Low,100,200,Hydropower,3000.0,0.055,150.0
Ireland,Low,100,200,Biomass,3500.0,0.1,150.0
Ireland,Medium,200,500,Solar Power,18750.0,0.08,350.0
Ireland,Medium,200,500,Wind Power,5750.0,0.04,350.0
Ireland,Medium,200,500,Hydropower,3000.0,0.055,350.0
Ireland,Medium,200,500,Biomass,3500.0,0.1,350.0
Ireland,High,500,1000,Solar Power,18750.0,0.08,750.0
Ireland,High,500,1000,Wind Power,5750.0,0.04,750.0
Ireland,High,500,1000,Hydropower,3000.0,0.055,750.0
Ireland,High,500,1000,Biomass,3500.0,0.1,750.0
Ireland,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Ireland,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Ireland,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Ireland,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Colombia,Low,100,200,Solar Power,18750.0,0.08,150.0
Colombia,Low,100,200,Wind Power,5750.0,0.04,150.0
Colombia,Low,100,200,Hydropower,3000.0,0.055,150.0
Colombia,Low,100,200,Biomass,3500.0,0.1,150.0
Colombia,Medium,200,500,Solar Power,18750.0,0.08,350.0
Colombia,Medium,200,500,Wind Power,5750.0,0.04,350.0
Colombia,Medium,200,500,Hydropower,3000.0,0.055,350.0
Colombia,Medium,200,500,Biomass,3500.0,0.1,350.0
Colombia,High,500,1000,Solar Power,18750.0,0.08,750.0
Colombia,High,500,1000,Wind Power,5750.0,0.04,750.0
Colombia,High,500,1000,Hydropower,3000.0,0.055,750.0
Colombia,High,500,1000,Biomass,3500.0,0.1,750.0
Colombia,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Colombia,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Colombia,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Colombia,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Bangladesh,Low,100,200,Solar Power,18750.0,0.08,150.0
Bangladesh,Low,100,200,Wind Power,5750.0,0.04,150.0
Bangladesh,Low,100,200,Hydropower,3000.0,0.055,150.0
Bangladesh,Low,100,200,Biomass,3500.0,0.1,150.0
Bangladesh,Medium,200,500,Solar Power,18750.0,0.08,350.0
Bangladesh,Medium,200,500,Wind Power,5750.0,0.04,350.0
Bangladesh,Medium,200,500,Hydropower,3000.0,0.055,350.0
Bangladesh,Medium,200,500,Biomass,3500.0,0.1,350.0
Bangladesh,High,500,1000,Solar Power,18750.0,0.08,750.0
Bangladesh,High,500,1000,Wind Power,5750.0,0.04,750.0
Bangladesh,High,500,1000,Hydropower,3000.0,0.055,750.0
Bangladesh,High,500,1000,Biomass,3500.0,0.1,750.0
Bangladesh,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Bangladesh,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Bangladesh,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Bangladesh,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Ukraine,Low,100,200,Solar Power,18750.0,0.08,150.0
Ukraine,Low,100,200,Wind Power,5750.0,0.04,150.0
Ukraine,Low,100,200,Hydropower,3000.0,0.055,150.0
Ukraine,Low,100,200,Biomass,3500.0,0.1,150.0
Ukraine,Medium,200,500,Solar Power,18750.0,0.08,350.0
Ukraine,Medium,200,500,Wind Power,5750.0,0.04,350.0
Ukraine,Medium,200,500,Hydropower,3000.0,0.055,350.0
Ukraine,Medium,200,500,Biomass,3500.0,0.1,350.0
Ukraine,High,500,1000,Solar Power,18750.0,0.08,750.0
Ukraine,High,500,1000,Wind Power,5750.0,0.04,750.0
Ukraine,High,500,1000,Hydropower,3000.0,0.055,750.0
Ukraine,High,500,1000,Biomass,3500.0,0.1,750.0
Ukraine,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Ukraine,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Ukraine,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Ukraine,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Peru,Low,100,200,Solar Power,18750.0,0.08,150.0
Peru,Low,100,200,Wind Power,5750.0,0.04,150.0
Peru,Low,100,200,Hydropower,3000.0,0.055,150.0
Peru,Low,100,200,Biomass,3500.0,0.1,150.0
Peru,Medium,200,500,Solar Power,18750.0,0.08,350.0
Peru,Medium,200,500,Wind Power,5750.0,0.04,350.0
Peru,Medium,200,500,Hydropower,3000.0,0.055,350.0
Peru,Medium,200,500,Biomass,3500.0,0.1,350.0
Peru,High,500,1000,Solar Power,18750.0,0.08,750.0
Peru,High,500,1000,Wind Power,5750.0,0.04,750.0
Peru,High,500,1000,Hydropower,3000.0,0.055,750.0
Peru,High,500,1000,Biomass,3500.0,0.1,750.0
Peru,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Peru,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Peru,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Peru,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Venezuela,Low,100,200,Solar Power,18750.0,0.08,150.0
Venezuela,Low,100,200,Wind Power,5750.0,0.04,150.0
Venezuela,Low,100,200,Hydropower,3000.0,0.055,150.0
Venezuela,Low,100,200,Biomass,3500.0,0.1,150.0
Venezuela,Medium,200,500,Solar Power,18750.0,0.08,350.0
Venezuela,Medium,200,500,Wind Power,5750.0,0.04,350.0
Venezuela,Medium,200,500,Hydropower,3000.0,0.055,350.0
Venezuela,Medium,200,500,Biomass,3500.0,0.1,350.0
Venezuela,High,500,1000,Solar Power,18750.0,0.08,750.0
Venezuela,High,500,1000,Wind Power,5750.0,0.04,750.0
Venezuela,High,500,1000,Hydropower,3000.0,0.055,750.0
Venezuela,High,500,1000,Biomass,3500.0,0.1,750.0
Venezuela,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Venezuela,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Venezuela,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Venezuela,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
Nigeria,Low,100,200,Solar Power,18750.0,0.08,150.0
Nigeria,Low,100,200,Wind Power,5750.0,0.04,150.0
Nigeria,Low,100,200,Hydropower,3000.0,0.055,150.0
Nigeria,Low,100,200,Biomass,3500.0,0.1,150.0
Nigeria,Medium,200,500,Solar Power,18750.0,0.08,350.0
Nigeria,Medium,200,500,Wind Power,5750.0,0.04,350.0
Nigeria,Medium,200,500,Hydropower,3000.0,0.055,350.0
Nigeria,Medium,200,500,Biomass,3500.0,0.1,350.0
Nigeria,High,500,1000,Solar Power,18750.0,0.08,750.0
Nigeria,High,500,1000,Wind Power,5750.0,0.04,750.0
Nigeria,High,500,1000,Hydropower,3000.0,0.055,750.0
Nigeria,High,500,1000,Biomass,3500.0,0.1,750.0
Nigeria,Very High,1000,2000,Solar Power,18750.0,0.08,1500.0
Nigeria,Very High,1000,2000,Wind Power,5750.0,0.04,1500.0
Nigeria,Very High,1000,2000,Hydropower,3000.0,0.055,1500.0
Nigeria,Very High,1000,2000,Biomass,3500.0,0.1,1500.0
